AOA,MA,CD,CL
0.0,1.5,0.098415,-8e-06
10.0,0.5,nan,nan
-5.0,1.5,0.117128,-0.271771
0.0,0.5,-8e-05,0.001471
10.0,1.5,nan,nan
5.0,1.5,0.117128,0.271771
17.5,1.5,nan,nan
7.5,0.8,0.228525,1.375899
9.0,0.8,0.281061,1.478804
-2.5,0.5,nan,nan
7.5,0.5,0.021577,1.153581
2.5,0.8,0.055684,0.680405
8.0,0.5,0.029249,1.187391
0.0,1.5,0.09489,0.0
20.0,1.5,nan,nan
2.5,1.5,0.100446,0.135919
8.0,0.8,0.247515,1.416655
19.0,1.5,nan,nan
2.5,0.5,nan,nan
-2.5,0.8,0.057857,-0.688497
9.0,0.5,0.045592,1.237321
-5.0,0.5,nan,nan
5.0,0.5,nan,nan
-5.0,0.8,0.142541,-1.128423
0.0,0.8,0.008125,0.0014
15.0,1.5,nan,nan
18.0,1.5,nan,nan
5.0,0.8,0.134631,1.106706
-2.5,1.5,0.100446,-0.135919
10.0,0.8,0.31513,1.532036
7.5,1.5,0.144986,0.407401
